Browse	Procházet
French (Belgium)	Francouzština (Belgie)
French (Canada)	Francouzština (Kanada)
French (Switzerland)	Francouzština (Švýcarsko)
French (Luxembourg)	Francouzština (Lucembursko)
French (Monaco)	Francouzština (Monako)
Gascon	Gaskoňština
German (Germany)	Němčina (Německo)
German (Switzerland)	Němčina (Švýcarsko)
German (Austria)	Němčina (Rakousko)
German (Luxembourg)	Němčina (Lucembursko)
German (Liechtenstein)	Němčina (Lichtenštejnsko)
Italian (Italy)	Italština (Itálie)
Italian (Switzerland)	Italština (Švýcarsko)
Kashmiri (Kashmir)	Kašmírština (Kašmír)
Kashmiri (India)	Kašmírština (Indie)
Konkani	Konkánština
Korean (RoK)	Korejština (Korejská rep.)
Malay (Malaysia)	Malajština (Malajsie)
Malay (Brunei Darussalam)	Malajština (Brunej)
Nepali (Nepal)	Nepálština (Nepál)
Nepali (India)	Nepálština (Indie)
Norwegian, Bokmål	Norština, bokmål
Norwegian, Nynorsk	Norština, nynorsk
Portuguese (Angola)	Portugalština (Angola)
Portuguese (Portugal)	Portugalština (Portugalsko)
Rhaeto-Romance	Rétorománština
Romanian (Romania)	Rumunština (Rumunsko)
Romanian (Moldova)	Rumunština (Moldavsko)
Sanskrit	Sanskrt
Serbian Cyrillic (Serbia and Montenegro)	Srbština, cyrilice (Srbsko a Černá hora)
Serbian Latin (Serbia and Montenegro)	Srbština, latinka (Srbsko a Černá hora)
Serbian Cyrillic (Serbia)	Srbština, cyrilice (Srbsko)
Serbian Latin (Serbia)	Srbština, latinka (Srbsko)
Serbian Cyrillic (Montenegro)	Srbština, cyrilice (Černá hora)
Serbian Latin (Montenegro)	Srbština, latinka (Černá hora)
Serbian Latin	Srbština, latinka
Sindhi, Devanagari	Sindhština, Dévanágarí
Sindhi, Arabic	Sindhština, Arabské písmo
Spanish (Spain)	Španělština (Španělsko)
Spanish (Mexico)	Španělština (Mexiko)
Spanish (Guatemala)	Španělština (Guatemala)
Spanish (Costa Rica)	Španělština (Kostarika)
Spanish (Panama)	Španělština (Panama)
Spanish (Dom. Rep.)	Španělština (Dominikánská republika)
Spanish (Venezuela)	Španělština (Venezuela)
Spanish (Colombia)	Španělština (Kolumbie)
Spanish (Peru)	Španělština (Peru)
Spanish (Argentina)	Španělština (Argentina)
Spanish (Ecuador)	Španělština (Ekvádor)
Spanish (Chile)	Španělština (Chile)
Spanish (Uruguay)	Španělština (Uruguay)
Spanish (Paraguay)	Španělština (Paraguay)
Spanish (Bolivia)	Španělština (Bolívie)
Spanish (El Salvador)	Španělština (El Salvador)
Spanish (Honduras)	Španělština (Honduras)
Spanish (Nicaragua)	Španělština (Nikaragua)
Spanish (Puerto Rico)	Španělština (Portoriko)
Swahili (Kenya)	Svahilština (Keňa)
Swedish (Sweden)	Švédština (Švédsko)
Swedish (Finland)	Švédština (Finsko)
Urdu (Pakistan)	Urdština (Pákistán)
Urdu (India)	Urdština (Indie)
Uzbek Latin	Uzbečtina, latinka
Uzbek Cyrillic	Uzbečtina, cyrilice
Latin	Latina
Kinyarwanda (Rwanda)	Rwandština (Rwanda)
Maori	Maorština
Dhivehi	Divehi
Gaelic (Scotland)	Gaelština (Skotsko)
Mongolian Cyrillic	Mongolština, cyrilice
Mongolian Mongolian	Mongolská mongolština
Interlingua	Interlingua
Kurdish, Northern (Turkey)	Severní kurdština (Turecko)
Kurdish, Northern (Syria)	Severní kurdština (Sýrie)
Kurdish, Central (Iraq)	Centrální kurdština (Irák)
Kurdish, Central (Iran)	Centrální kurdština (Írán)
Kurdish, Southern (Iran)	Jižní kurdština (Írán)
Kurdish, Southern (Iraq)	Jižní kurdština (Irák)
Sardinian	Sardinština
Swahili (Tanzania)	Svahilština (Tanzanie)
Tibetan (PR China)	Tibetština (ČLDR)
Tswana (South Africa)	Čwanština (Jižní Afrika)
Kalaallisut	Grónština
Ndebele, South	Ndebelština, jižní
Southern Sotho	Jihosotština
Tswana (Botswana)	Čwanština (Botswana)
Moore	Mossi
Bambara	Bambarština
Akan	Akanština
Fijian	Fidžijština
Afrikaans (Namibia)	Afrikánština (Namibie)
English (Namibia)	Angličtina (Namibie)
Walloon	Valonština
Coptic	Koptština
Tigrigna (Eritrea)	Tigriňa (Eritrea)
Tigrigna (Ethiopia)	Tigriňa (Etiopie)
Kirghiz	Kyrgyzština
German (Belgium)	Němčina (Belgie)
Chuvash	Čuvašština
Hausa (Nigeria)	Hauština (Nigérie)
Hausa (Ghana)	Hauština (Ghana)
Éwé	Eveština
English (Ghana)	Angličtina (Ghana)
Sango	Sangština
Tagalog	Tagalština
Ganda	Gandština
Lingala	Lingalština
Low German	Dolnoněmčina
Hiligaynon	Hiligayonština
Nyanja	Ňandžština
Kashubian	Kašubština
Spanish (Cuba)	Španělština (Kuba)
Tetun (Indonesia)	Tetumština (Indonésie)
Quechua (Bolivia, North)	Kečuánština (Severní Bolívie)
Quechua (Bolivia, South)	Kečuánština (Jižní Bolívie)
Somali	Somálština
Sami, Inari (Finland)	Inarijská sámština (Finsko)
Sami, Lule (Norway)	Lulejská sámština (Norsko)
Sami, Lule (Sweden)	Lulejská sámština (Švédsko)
Sami, Northern (Finland)	Severní sámština (Finsko)
Sami, Northern (Norway)	Severní sámština (Norsko)
Sami, Northern (Sweden)	Severní sámština (Švédsko)
Sami, Skolt (Finland)	Skoltská sámština (Finsko)
Sami, Southern (Norway)	Jižní sámština (Norsko)
Sami, Southern (Sweden)	Jižní sámština (Švédsko)
Sami, Kildin (Russia)	Kildinská sámština (Rusko)
Guarani (Paraguay)	Guaranština (Paraguay)
Tetun (Timor-Leste)	Tetumština (Východní Timor)
Turkmen	Turkmenština
Maltese	Maltština
Tok Pisin	Tok Pisin
Shuswap	Shuswap
Greek, Ancient	Starořečtina
Yiddish (Israel)	Jidiš (Izrael)
Quechua (Ecuador)	Kečuánština (Ekvádor)
Sorbian, Upper	Hornolužická srbština
Sorbian, Lower	Dolnolužická srbština
Latgalian	Latgalština
Maore	Maore
Bushi	Malgaština (Bushi)
Tahitian	Tahitština
Malagasy, Plateau	Malgaština (Plateau)
Papiamentu (Netherlands Antilles)	Papiamento (Nizozemské Antily)
Papiamento (Aruba)	Papiamento (Aruba)
Sardinian, Campidanese	Sardinština, Campidanese
Sardinian, Gallurese	Sardinština, Gallurese
Sardinian, Logudorese	Sardinština, Logudorese
Sardinian, Sassarese	Sardinština, Sassarese
Bafia	Bafia
Gikuyu	Kikujština
Yoruba	Jorubština
Rusyn (Ukraine)	Rusínština (Ukrajina)
Rusyn (Slovakia)	Rusínština (Slovensko)
Kabyle Latin	Kabulí (latinka)
Yiddish (USA)	Jidiš (USA)
Hawaiian	Havajština
Limbu	Limbu
Lojban	Lojban
Haitian	Haitština
Beembe	Bembe
Bekwel	Bekwel
Kituba (Congo)	Kituba (Kongo)
Lari	Lari
Mbochi	Mbosi
Teke-Eboo	Teke-Eboo
Teke-Ibali	Teke-Ibali
Teke-Tyee	Teke-Tyee
Vili	Vili
Pali Latin	Páli, latinka
Kyrgyz (China)	Kyrgyzština (Čína)
Komi-Zyrian	Komi-zyrjanština
Komi-Permyak	Komi-permština
Pitjantjatjara	Pitjantjatjara
English (Malawi)	Angličtina (Malawi)
Erzya	Erzja
Mari, Meadow	Marijština, východní
Papiamento (Curaçao)	Papiamento (Curaçao)
Papiamento (Bonaire)	Papiamento (Bonaire)
Khanty	Chantyjština
Livonian	Livonština
Moksha	Mokša
Mari, Hill	Západní marijština
Nganasan	Nganasanština
Olonets	Oloněčtina
Veps	Vepština
Võro	Võruština
Nenets	Něnčina
Aka (Central African Republic)	Aka (Středoafrická republika)
Aka (Congo)	Aka (Kongo)
Dibole	Dibole
Doondo	Doondo
Kaamba	Kaamba
Koongo (Congo)	Konžština (Kongo)
Kunyi	Kunyi
Ngungwel	Ngungwel
Njyem (Congo)	Njyem (Kongo)
Punu	Punu
Suundi	Suundi
Teke-Kukuya	Teke-Kukuya
Tsaangi	Tsaangi
Yaka (Congo)	Yaka (Kongo)
Yaka (Democratic Republic of the Congo)	Yaka (Konžská demokratická republika)
Yombe (Congo)	Yombe (Kongo)
N'ko	N'ko
Udmurt	Udmurtština
Tibetan (India)	Tibetština (Indie)
Cornish	Kornština
Sami, Pite (Sweden)	Pitejská sámština (Švédsko)
Ngäbere	Ngäbere
Kumyk	Kumyčtina
Nogai	Nogajština
Karakalpak Latin	Karakalpačtina
Ladin	Ladinština
French (Burkina Faso)	Francouzština (Burkina Faso)
Puinave	Puinave
Maninkakan, Eastern, Latin	Východní maninkakan, latinka
Avar	Avarština
Cree, Plains, Latin	Kríjština, plains, latinka
Cree, Plains, Syllabics	Kríjština, plains, slabičné
Lengo	Lengo
French (Côte d'Ivoire)	Francouzština (Pobřeží slonoviny)
French (Mali)	Francouzština (Mali)
French (Senegal)	Francouzština (Senegal)
French (Benin)	Francouzština (Benin)
French (Niger)	Francouzština (Niger)
French (Togo)	Francouzština (Togo)
Kven Finnish	Kvenská finština
English (Gambia)	Angličtina (Gambie)
Aranese	Aranéština
Arpitan (France)	Arpitánština (Francie)
Arpitan (Italy)	Arpitánština (Itálie)
Arpitan (Switzerland)	Arpitánština (Švýcarsko)
English (Botswana)	Angličtina (Botswana)
Interlingue Occidental	Interlingue Occidental
Apatani	Apatani
English (Mauritius)	Angličtina (Mauricius)
French (Mauritius)	Francouzština (Mauricius)
Hungarian (Szekely-Hungarian Rovas)	Maďarština (staromaďarské písmo)
English (Malaysia)	Angličtina (Malajsie)
Manchu	Mandžuština
Xibe	Šive
Kituba (Democratic Republic of the Congo)	Kituba (Demokratická republika Kongo)
Fon	Fonština
Plautdietsch	Plautdietsch
Armenian, Eastern (Russia)	Východní arménština (Rusko)
Armenian, Eastern (Iran)	Východní arménština (Írán)
Armenian, Western (Armenia)	Západní arménština (Arménie)
Armenian, Classical (Armenia)	Klasická arménština (Arménie)
Malay Arabic (Malaysia)	Malajština, arabské písmo (Malajsie)
Malay Arabic (Brunei Darussalam)	Malajština, arabské písmo (Brunej)
Juǀ’hoan	Juǀ’hoan
Naro	Naro
Iloko	Ilokánština
English (Zambia)	Angličtina (Zambie)
English (Sri Lanka)	Angličtina (Srí Lanka)
English (Nigeria)	Angličtina (Nigérie)
Kabardian	Kabardština
Guadeloupean Creole French	Guadeloupská francouzská kreolština
Ligurian	Ligurština
Minangkabau	Minangkabauština
Sundanese	Sundština
English (Hong Kong)	Angličtina (Hongkong)
English (Kenya)	Angličtina (Keňa)
Pali Thai	Páli, thajské
Cabécar	Cabécar
Bribri	Bribri
English (Denmark)	Angličtina (Dánsko)
Sesotho	Sesothština
Klingon	Klingonština
English (Israel)	Angličtina (Izrael)
Interslavic Latin	Mezislovanština (latinka)
Interslavic Cyrillic	Mezislovanština (cyrilice)
Pennsylvania Dutch	Pensylvánská němčina
Portuguese (Mozambique)	Portugalština (Mosambik)
Saraiki	Saraiki
Rohingya Hanifi	Rohingské hanifi
Morisyen	Mauricijská kreolština
Templates: Address Book Assignment	Šablony: Přiřazení adresáře
Select the data source for your address book.	Vyberte zdroj dat pro adresář.
Select the data table for your address book.	Vyberte tabulku pro adresář.
Add a new data source to the Address Book Source list.	Přidá nový zdroj dat do seznamu Zdroj adresáře.
Address Book Source	Zdroj adresáře
Edit the field assignments and the data source for your address book.	Upravte přiřazení polí a zdroj dat pro adresář.
%1 Options	Možnosti %1
Modify dimensions	Upravit rozměry
Modify resolution	Upravit rozlišení
Specifies the measurement units.	Určuje měrné jednotky.
Specifies the height.	Určuje výšku.
inches	palců
points	bodů
pixels	pixelů
Specifies the width.	Určuje šířku.
pixels/cm	pixely/cm
pixels/inch	pixely/palec
pixels/meter	pixely/metr
Select the color depth from 8 bit grayscale or 24 bit true color.	Vyberte barevnou hloubku od 8bitových stupňů šedi po 24bitovou plně barevnou.
Color Depth	Barevná hloubka
Lossless	Bezztrátový
Lossless images do not lose quality but result in larger files.	U bezztrátových obrázků se nesnižuje jejich kvalita, výsledkem jsou ale větší soubory.
Compression	Komprese
RLE encoding	Kódování RLE
Applies RLE (Run Length Encoding) to the BMP graphics.	Aplikuje RLE (Run Length Encoding - kódování posloupnosti) na obrázek BMP.
Interlaced	Prokládaný
Specifies whether the graphic is to be saved in interlaced mode.	Určuje, zda bude obrázek uložen v prokládaném režimu.
Save transparency	Uložit průhlednost
Image preview (TIFF)	Náhled obrázku (TIFF)
Interchange (EPSI)	Interchange (EPSI)
Exports the file in color.	Exportuje soubor v barvě.
Exports the file in grayscale tones.	Exportuje soubor ve stupních šedi.
Color Format	Barevný formát
Level 1	Úroveň 1
Level 2	Úroveň 2
LZW encoding	LZW kódování
Specifies that you do not wish to use compression.	Určuje, že nechcete použít kompresi.
Enable JRE?	Povolit JRE?
File Services	Souborové služby
WebDAV	WebDAV
SSH	SSH
Windows Share	Sdílený adresář Windows
Host:	Hostitel:
Root:	Kořen:
Share:	Sdílený adresář:
Repository:	Úložiště:
Secure connection	Zabezpečené připojení
Label:	Popisek:
Remember password	Zapamatovat heslo
Printer Setup	Nastavení tiskárny
Comment:	Komentář:
Select the default printer for the current document.	Vyberte výchozí tiskárnu pro aktuální dokument.
Confirm Delete	Potvrdit smazání
Are you sure you want to delete the selected data?	Opravdu si přejete smazat vybraná data?
Entry: %s	Položka: %s
Delete All	Smazat vše
Do Not Delete	Nemazat
Restart %PRODUCTNAME	Restartovat %PRODUCTNAME
Restart Now	Restartovat nyní
Restart Later	Restartovat později
For mail merge to work properly, %PRODUCTNAME must be restarted.	Aby hromadná korespondence správně fungovala, je nezbytné %PRODUCTNAME restartovat.
For the bibliography to work properly, %PRODUCTNAME must be restarted.	Aby seznam literatury správně fungoval, je nezbytné %PRODUCTNAME restartovat.
For the added path to take effect, %PRODUCTNAME must be restarted.	Aby se přidaná cesta projevila, je nezbytné %PRODUCTNAME restartovat.
For the extension to work properly, %PRODUCTNAME must be restarted.	Aby rozšíření správně fungovalo, je nezbytné %PRODUCTNAME restartovat.
To apply changes, %PRODUCTNAME must be restarted.	Aby se změny projevily, je nezbytné %PRODUCTNAME restartovat.
For the OpenCL changes to take effect, %PRODUCTNAME must be restarted.	Aby se změny nastavení OpenCL projevily, je nezbytné %PRODUCTNAME restartovat.
For restructuring the Form menu, %PRODUCTNAME must be restarted.	Aby se změny uspořádání nabídky Formulář projevily, je nezbytné %PRODUCTNAME restartovat.
Do you want to restart %PRODUCTNAME now?	Chcete %PRODUCTNAME restartovat nyní?
For the Skia changes to take effect, %PRODUCTNAME must be restarted.	Aby se změny nastavení knihovny Skia projevily, je nezbytné %PRODUCTNAME restartovat.
Pick Date	Vybrat datum
Drawing object	Objekt kresby
Diagram	Diagram
Group objects	Skupinové objekty
Blank group object	Prázdný skupinový objekt
Blank group objects	Prázdné skupinové objekty
Horizontal line	Vodorovná čára
Vertical line	Svislá čára
Diagonal line	Úhlopříčná čára
Rectangles	Obdélníky
Squares	Čtverce
Parallelograms	Rovnoběžníky
Rounded rectangle	Zaoblený obdélník
Rounded Rectangles	Zaoblené obdélníky
rounded square	zaoblený čtverec
Rounded Squares	Zaoblené čtverce
Rounded Parallelogram	Zaoblený rovnoběžník
Rounded parallelograms	Zaoblené rovnoběžníky
Circle sector	Kruhová výseč
Circle sectors	Kruhové výseče
Arcs	Oblouky
Circle segment	Kruhová úseč
Circle segments	Kruhové úseče
Ellipses	Elipsy
Ellipse Pies	Eliptické výseče
Elliptical arc	Eliptický oblouk
Elliptical arcs	Eliptické oblouky
Ellipse Segments	Eliptické úseče
Polygon %2 corners	Mnohoúhelník s %2 body
Polygons	Mnohoúhelníky
Polyline	Lomená čára
Polyline with %2 corners	Lomená čára s %2 body
Polylines	Lomené čáry
Bézier curve	Bézierova křivka
Bézier curves	Bézierovy křivky
Freeform Lines	Čáry od ruky
Linked text frame	Textový rámec s odkazem
Linked text frames	Textový rámec s odkazem
Title text	Úvodní text
Title texts	Úvodní texty
Outline Text	Text osnovy
Outline Texts	Texty osnovy
Linked image	Odkaz na obrázek
Linked images	Odkazy na obrázky
Blank image object	Prázdný obrázek
Blank image objects	Prázdné obrázky
Blank linked image	Prázdný odkaz na obrázek
Blank linked images	Prázdné odkazy na obrázky
Metafile	Metasoubor
Metafiles	Metasoubory
Linked Metafile	Metasoubor s odkazem
Linked Metafiles	Metasoubory s odkazy
Image with transparency	Obrázek s průhledností
Linked Image	Odkaz na obrázek
Linked image with transparency	Odkaz na obrázek s průhledností
Images with transparency	Obrázky s průhledností
Linked images with transparency	Odkazy na obrázky s průhledností
SVG	SVG
SVGs	SVG
WMF	WMF
WMFs	WMF
EMF	EMF
EMFs	EMF
PDFs	PDF
embedded object (OLE)	vložený objekt (OLE)
Embedded objects (OLE)	vložené objekty (OLE)
Object Connectors	Spojnice objektu
Preview object	Náhled objektu
Preview objects	Náhled objektů
Dimensioning objects	Kótované objekty
No draw object	Bez kreseb
Draw object(s)	Objekty kresby
3D cube	3D krychle
3D cubes	3D krychle
Extrusion object	Plastický objekt
Extrusion objects	Plastické objekty
Rotation object	Rotační objekt
Rotation objects	Rotační objekty
3D object	3D objekt
3D objects	3D objekty
3D scene	3D scéna
3D scenes	3D scény
Spheres	Koule
with copy	s kopírováním
Set position and size for %1	Nastavit umístění a velikost %1
Delete %1	Smazat %1
Move %1 forward	Přesunout %1 blíž
Move %1 further back	Přesunout %1 dál
Move %1 to front	Přesunout %1 dopředu
Move %1 to back	Přesunout %1 dozadu
Reverse order of %1	Převrátit pořadí u %1
Sort shapes	Seřadit tvary
Move %1	Přesunout %1
Resize %1	Změnit velikost %1
Rotate %1	Otočit %1
Flip %1 horizontal	Překlopit %1 vodorovně
Flip %1 vertical	Překlopit %1 svisle
Flip %1 diagonal	Překlopit %1 úhlopříčně
Flip %1 freehand	Překlopit %1 dle libosti
Distort %1 (slant)	Deformovat %1 (zkosit)
Arrange %1 in circle	Uspořádat %1 do kruhu
Curve %1 in circle	Zakřivit %1 do kruhu
Distort %1	Deformovat %1
Undo %1	Zpět %1
Modify bézier properties of %1	Upravit vlastnosti bézierovy křivky %1
Set exit direction for %1	Nastavit směr výstupu pro %1
Set relative attribute at %1	Nastavit relativní atribut pro %1
Set reference point for %1	Nastavit referenční bod pro %1
Group %1	Seskupit %1
Ungroup %1	Zrušit skupinu %1
Apply attributes to %1	Použít atributy na %1
Apply Styles to %1	Použít styly na %1
Remove Style from %1	Odstranit styl z %1
Convert %1 to polygon	Převést %1 na mnohoúhelník
Convert %1 to polygons	Převést %1 na mnohoúhelníky
Convert %1 to curve	Převést %1 na křivku
Convert %1 to curves	Převést %1 na křivky
Convert %1 to contour	Převést %1 na obrys
Convert %1 to contours	Převést %1 na obrysy
Align %1	%1 zarovnat
Align %1 to top	Zarovnat %1 nahoru
Align %1 to bottom	Zarovnat %1 dolů
Horizontally center %1	Vodorovně na střed %1
Align %1 to left	Zarovnat %1 vlevo
Align %1 to right	Zarovnat %1 vpravo
Vertically center %1	Svisle na střed %1
Center %1	Na střed %1
Transform %1	Transformovat %1
Combine %1	Kombinovat %1
Merge %1	Sloučit %1
Subtract %1	Odečíst %1
Intersect %1	Protnout %1
Distribute selected objects	Distribuovat vybrané objekty
Equalize Width %1	Sjednotit šířku %1
Equalize Height %1	Sjednotit výšku %1
Split %1	Rozdělit %1
Insert object(s)	Vložit objekty
Insert point to %1	Vložit bod do %1
Insert gluepoint to %1	Vložit záchytný bod %1
Move reference-point	Přesunout odkaz
Geometrically change %1	Geometricky změnit %1
Diagram change %1	Změna diagramu %1
Interactive gradient for %1	Interaktivní přechod barev pro %1
Interactive transparency for %1	interaktivní průhlednost pro %1
Crop %1	Oříznout %1
Alter radius by %1	Změnit poloměr o %1
Change %1	Změnit %1
Move end point of %1	Přesunout poslední bod %1
Adjust angle by %1	Změnit úhel o %1
TextEdit: Paragraph %1, Row %2, Column %3	Editor textu: Odstavec %1, Řádek %2, Sloupec %3
%1 selected	Vybráno %1
Point from %1	Bod z %1
%2 points from %1	%2 bodů z %1
Gluepoint from %1	Záchytný bod z %1
%2 gluepoints from %1	%2 záchytných bodů z %1
Mark objects	Označit objekty
Mark additional objects	Označit další objekty
Mark points	Označit body
Mark additional points	Označit další body
Mark gluepoints	Označit záchytné body
Mark additional gluepoints	Označit další záchytné body
Create %1	Vytvořit %1
Insert %1	Vložit %1
Copy %1	Kopírovat %1
Change object order of %1	Změnit pořadí objektu %1
Edit text of %1	Upravit text %1
Insert page	Vložit stránku
Delete page	Smazat stránku
Copy page	Kopírovat stránku
Change order of pages	Změnit pořadí stránek
Clear background page assignment	Odstranit přiřazení
Change background page assignment	Změnit přiřazení stránky s pozadím
Insert document	Vložit dokument
Delete layer	Smazat vrstvu
Change object name of %1 to	Změnit název objektu %1
Change object title of %1	Změnit titulek objektu %1
Change object description of %1	Změnit popis objektu %1
off	vypnuto
Type 1	Typ 1
Type 2	Typ 2
Type 3	Typ 3
Type 4	Typ 4
Fit to size (all rows separately) 	Přizpůsobit velikosti (všechny řádky odděleně) 
Use hard attributes	Použít pevné atributy
Use entire height	Použít celou výšku
Use entire width	Použít celou šířku
flash	blikat
alternating	Tam a zpět
Standard Connector	Běžná spojnice
Radius	Poloměr
on the line	na čáře
broken line	přerušená čára
below the line	pod čarou
centered	vystředěno
full circle	Celý kruh
Unknown attribute	Neznámý atribut
Line style	Styl čáry
Line pattern	Vzor čáry
Line width	Šířka čáry
Line head	Začátek čáry
Line end	Konec čáry
Line head width	Šířka začátku čáry
Line end width	Šířka konce čáry
Center arrowhead	Vystředěný začátek
Center arrowend	Vystředěný konec
Line transparency	Průhlednost čáry
Line joint	Spojení čar
Line attributes	Atributy čáry
Fill style	Styl výplně
Fillcolor	Barva výplně
Hatching	Šrafování
Fillbitmap	Rastrová výplň
Number of gradient steps	Počet kroků gradientu
Tile fill	Rastry vedle sebe
Fillbitmap position	Umístění rastrové výplně
Fillbitmap width	Šířka rastrové výplně
Height of fillbitmap	Výška rastrové výplně
Transparent gradient	Průhledný přechod
Fill reserved for 2	Výplň vyhrazena pro 2
Tile size not in %	Velikost dlaždic není v %
Tile offset X in %	Odstup dlaždice X v %
Tile offset Y in %	Odstup dlaždice Y v %
Bitmap scaling	Přizpůsobení velikosti rastru
Tile position X in %	Umístění dlaždic X v %
Tile position Y in %	Umístění dlaždic Y v %
Background fill	Výplň pozadí
Use slide background fill	Použít výplň pozadí snímku
Area attributes	Atributy oblasti
Fontwork style	Styl písmomalby
Fontwork alignment	Zarovnání písmomalby
Fontwork spacing	Odsazení písmomalby
Fontwork font begin	Začátek písmomalby
Fontwork mirror	Zrcadlení písmomalby
Fontwork outline	Obrysy písmomalby
Fontwork shadow	Stínování písmomalby
Fontwork shadow color	Barva stínů písmomalby
Fontwork shadow offset X	Stínování písmomalby offset X
Fontwork shadow offset Y	Stínování písmomalby offset Y
Hide fontwork outline	Skrýt obrysy písmomalby
Fontwork shadow transparency	Průhledné stínování písmomalby
Shadow color	Barva stínování
Shadow spacing X	Odstup stínu X
Shadow spacing Y	Odstup stínu Y
Shadow transparency	Průhlednost stínování
Shadow blur	Rozostření stínu
3D shadow	3D stín
Perspective shadow	Perspektivní stínování
Type of legend	Druh popisku
Fixed legend angle	Pevný úhel popisku
Legend angle	Úhel popisku
Legend lines spacing	Řádkování legendy
Legend exit alignment	Směr zarovnání popisků
Relative exit legend	Relativní pozice odchodu
Absolute exit of legend	Absolutní pozice odchodu
Legend line length	Délka řádku s popiskem
AutoLength of legend lines	Automatická délka řádku s popiskem
Corner radius	Poloměr rohu
Minimal frame height	Minimální výška rámce
AutoFit height	Automatická úprava výšky
Fit text to frame	Přizpůsobit text rámci
Left text frame spacing	Vzdálenost rámce textu vlevo
Right text frame spacing	Vzdálenost rámce textu vpravo
Upper text frame spacing	Vzdálenost rámce textu nahoře
Lower text frame spacing	Vzdálenost rámce textu dole
Vertical text anchor	Svislé ukotvení textu
Maximal frame height	Maximální výška rámce
Minimal frame width	Minimální šířka rámce
Maximal frame width	Maximální šířka rámce
AutoFit width	Automatická úprava šířky
Horizontal text anchor	Vodorovné ukotvení textu
Ticker	Rolující text
Ticker direction	Směr rolujícího textu
Ticker start inside	Rolující text začínající uvnitř
Ticker stop inside	Rolující text začínající vně
Number of ticker runs	Počet opakování rolujícího textu
Speed of ticker	Rychlost rolujícího textu
Ticker step size	Velikost kroku rolujícího textu
Outline text flow	Tok textu osnovy
Columns number	Počet sloupců
Columns spacing	Rozestup sloupců
User-defined attributes	Uživatelem definované atributy
Use font-independent line spacing	Použít řádkování nezávislé na písmu
Word wrap text in shape	Zalomit text do tvaru
Next link in text chain	Následující propojení pro zřetězený text
Type of connector	Typ spojnice
Horz. spacing object 1	Objekt vodorovného rozestupu 1
Vert. spacing object 1	Objekt svislého rozestupu 1
Horz. spacing object 2	Objekt vodorovného rozestupu 2
Vert. spacing object 2	Objekt svislého rozestupu 2
Glue spacing object 1	Objekt záchytného rozestupu 1
Glue spacing object 2	Objekt záchytného rozestupu 2
Number of movable lines	Počet přesunutelných řádků
Offset line 1	Offset line 1
Offset line 2	Offset line 2
Offset line 3	Offset line 3
Type of dimensioning	Typ kótování
Dimension value - horizontal position	Text kóty - vodorovné umístění
Dimension value - vertical position	Text kóty - svislé umístění
Dimension line space	Velikost řádkování kót
Dimension help line overhang	Pomocný řádek kóty přesahuje
Dimension help line spacing	Velikost řádkování pomocných kót
Backlog of dimension help line 1	Šipka pomocného kótování 1
Backlog of dimension help line 2	Šipka pomocného kótování 2
Lower edge dimensioning	Kótovat spodní rohy
Dimension value across dimension line	Text kóty psát přímo na kótu
Rotate dimension value by 180 degree	Otočit text kóty o 180 stupňů
Dimension line overhang	Kótovací čára přesahuje
Unit of measurement	Měrná jednotka
Additional scale factor	Další faktory
Unit of measurement display	Zobrazit měrnou jednotku
Dimension value format	Formát textu kóty
AutoPositioning of the dimension value	Automatické umístění textu kóty
Angle for the automatic positioning of the dimension value	Úhel pro automatické umístění textu kóty
Determination of the dimension value angle	Určení úhlu textu kóty
Angle of the dimension value	Úhel textu kóty
Type of circle	Typ kruhu
Start angle	Počáteční úhel
End angle	Koncový úhel
Protected object position	Uzamčené umístění objektu
Protected object size	Uzamčená velikost objektu
Object, printable	Objekt je možné tisknout
Object, visible	Objekt je viditelný
Level ID	Určení úrovně
Object name	Název objektu
Position X, complete	Pozice X, celkem
Position Y, complete	Pozice Y, celkem
Total Width	Celková šířka
Height, complete	Celková výška
Single position X	Pozice X jednotlivě
Single position Y	Pozice Y jednotlivě
Single width	Šířka jednotlivě
Single height	Výška jednotlivě
Logical width	Logická šířka
Logical height	Logická výška
Single rotation angle	Jednoduchý úhel otočení
Single shear angle	Jednoduchý úhel naklonění
Move horizontally	Přesunout vodorovně
Move vertically	Přesunout svisle
Resize X, single	Změnit velikost X, jednotlivě
Resize Y, single	Změnit velikost Y, jednotlivě
Single rotation	Jednotlivé otočení
Single horizontal shear	Jednoduché vodorovné naklonění
Single vertical shear	Jednoduché svislé naklonění
Resize X, complete	Změnit velikost X, celkově
Resize Y, complete	Změnit velikost Y, celkově
Rotate all	Otočit vše
Shear horizontal, complete	Celkem vodorovných naklonění
Shear vertical, complete	Celkem svislých naklonění
Reference point 1 X	Referenční bod 1 X
Reference point 1 Y	Referenční bod 1 Y
Reference point 2 X	Referenční bod 2 X
Reference point 2 Y	Referenční bod 2 Y
Display bullets	Zobrazovat odrážky
Numbering indents	Odsazení číslování
Numbering level	Úroveň číslování
Bullets and Numberings	Odrážky a číslování
Indents	Odsazení
Paragraph spacing	Rozestupy mezi odstavci
Line spacing	Řádkování
Paragraph alignment	Zarovnání odstavce
Tabulators	Tabulátory
Font size	Velikost písma
Font width	Šířka písma
Bold (thickness)	Tučné (tloušťka)
Font shadow	Stín písma
Superscript/subscript	Horní a dolní index
Manual kerning	Ruční kerning
