Check for Updates...	Zkontrolovat aktualizace...
"The SQL command leading to this error is:

$command$"	"SQL příkaz, který chybu způsobil:

$command$"
The SQL command does not describe a result set.	SQL příkaz nepopisuje sadu výsledků.
The name must not be empty.	Název nesmí být prázdný.
The container cannot contain NULL objects.	Kontejner nesmí obsahovat objekty NULL.
There already is an object with the given name.	Objekt se zadaným názvem již existuje.
This object cannot be part of this container.	Tento objekt nemůže být součástí tohoto kontejneru.
The object already is, with a different name, part of the container.	Tento objekt již je pod jiným názvem částí kontejneru.
Unable to find the document '$name$'.	Nelze najít dokument '$name$'.
"Could not save the document to $location$:
$message$"	"Není možné uložit dokument do $location$:
$message$"
"Error accessing data source '$name$':
$error$"	"Při přístupu ke zdroji dat '$name$' došlo k chybě:
$error$"
"There exists no folder named ""$folder$""."	"Složka ""$folder$"" neexistuje."
Cannot delete the before-first or after-last row.	Nelze smazat řádek před-prvním nebo po-posledním.
Cannot delete the insert-row.	Nelze smazat vkládaný řádek.
Result set is read only.	Výsledek je jen pro čtení.
DELETE privilege not available.	Právo DELETE není dostupné.
Current row is already deleted.	Aktuální řádek je již smazán.
Current row could not be updated.	Aktuální řádek nelze aktualizovat.
INSERT privilege not available.	Právo INSERT není dostupné.
Internal error: no statement object provided by the database driver.	Interní chyba: ovladač databáze neposkytuje objekt deklarace.
Expression1	Expression1
No SQL command was provided.	Nebyl zadán SQL příkaz.
Invalid column index.	Chybný index sloupce.
Invalid cursor state.	Chybný stav kurzoru.
The cursor points to before the first or after the last row.	Kurzor ukazuje před první nebo za poslední řádek.
The rows before the first and after the last row don't have a bookmark.	Řádky před prvním a po posledním řádku nemají záložky.
The current row is deleted, and thus doesn't have a bookmark.	Aktuální řádek je již smazán, a proto nemá záložku.
"A connection for the following URL was requested ""$name$""."	"Bylo vyžádáno připojení k následujícímu URL ""$name$""."
The extension is not installed.	Rozšíření není nainstalováno.
You cannot give a table and a query the same name. Please use a name which is not yet used by a query or table.	Dotaz a tabulka nemohou mít stejný název. Zadejte název, který ještě není použit pro dotaz ani tabulku.
Table	Tabulka
Query	Dotaz
The given connection is no valid query and/or tables supplier.	Zadané spojení není platný dotaz nebo odkaz na tabulky.
The given object is no table object.	Zadaný objekt není objekt tabulky.
Invalid composition type - need a value from com.sun.star.sdb.tools.CompositionType.	Neplatný typ spojení - je potřeba hodnota z com.sun.star.sdb.tools.CompositionType.
Invalid command type - only TABLE and QUERY from com.sun.star.sdb.CommandType are allowed.	Neplatný typ příkazu - jsou povoleny jen TABLE a QUERY z com.sun.star.sdb.CommandType.
Add Table Window	Přidat okno tabulky
Move table window	Přesunout okno tabulky
Insert Join	Vložit spojení
Delete Join	Smazat spojení
Resize table window	Změnit velikost okna tabulky
Delete Column	Smazat sloupec
Move column	Přesunout sloupec
Add Column	Přidat sloupec
Invalid expression, field name '$name$' does not exist.	Neplatný výraz, pole '$name$' neexistuje.
Delete Table Window	Smazat okno tabulky
Edit Column Description	Upravit popis sloupce
Adjust column width	Přizpůsobit šířku sloupce
(not sorted);ascending;descending	(neseřazeno);vzestupně;sestupně
(no function);Group	(žádná funkce);Seskupit
(no table)	(žádná tabulka)
The database only supports sorting for visible fields.	Databáze podporuje řazení jen u viditelných polí.
Field;Alias;Table;Sort;Visible;Function;Criterion;Or;Or	Pole;Alias;Tabulka;Řadit;Viditelné;Funkce;Kritérium;Nebo;Nebo
All	Vše
There are too many columns.	Příliš mnoho sloupců.
A condition cannot be applied to field [*]	Podmínku nelze uplatnit na pole [*]
The SQL statement created is too long.	Vytvořený SQL příkaz je příliš dlouhý.
Query is too complex	Příliš komplexní dotaz
Nothing has been selected.	Nic nebylo vybráno.
SQL syntax error	Chyba v syntaxi SQL
[*] cannot be used as a sort criterion.	[*] nemůže být použito jako kritérium pro řazení.
There are too many tables.	Příliš mnoho tabulek.
The statement will not be applied when querying in the SQL dialect of the database.	Nevztahuje se na dotazy položené v nestandardním SQL jazyce platném jen pro tuto databázi.
Join could not be processed	Spoj (join) nelze zpracovat
Syntax error in SQL statement	Syntaktická chyba v SQL příkazu
This database does not support table views.	Tato databáze nepodporuje pohledy na tabulky.
This database does not support altering of existing table views.	Tato databáze nepodporuje úpravu existujících pohledů na tabulky.
Do you want to create a query instead?	Chcete místo toho vytvořit dotaz?
The corresponding data source has been deleted. Therefore, data relevant to that data source cannot be saved.	Odpovídající zdroj dat byl smazán. Data vztahující se k tomuto zdroji proto nemohou být uložena.
The column '$name$' is unknown.	Název sloupce '$name$' není znám.
Columns can only be compared using '='.	Sloupce lze porovnávat pouze pomocí '='.
You must use a column name before 'LIKE'.	Musíte použít název sloupce před výrazem 'LIKE'.
The column could not be found. Please note that the database is case-sensitive.	Nelze najít sloupec. Všimněte si, že databáze rozlišuje velikost písmen.
"$object$ has been changed.
Do you want to save the changes?"	"$object$ byl změněn.
Chcete uložit změny?"
$object$ is based on an SQL command which could not be parsed.	$object$ je založen na SQL příkazu, který nelze zpracovat.
$object$ will be opened in SQL view.	$object$ bude otevřen v režimu SQL.
The query does not create a result set, and thus cannot be part of another query.	Dotaz nevrací výsledky, tudíž nemůže být částí jiného dotazu.
Column Format...	Formát sloupce...
Column Width...	Šířka sloupce...
Table Format...	Formát tabulky...
Row Height...	Výška řádku...
Copy	Kopírovat
Undo: Data Input	Zpět: Vstup dat
Save current record	Uložit aktuální záznam
Query #	Dotaz #
Table #	Tabulka #
View #	Pohled #
"The name ""#"" already exists."	"Název ""#"" již existuje."
No matching column names were found.	Nebyl nalezen žádný odpovídající název sloupce.
An error occurred. Do you want to continue copying?	Došlo k chybě. Chcete pokračovat v kopírování?
Data source table view	Tabulkový pohled na zdroj dat
Shows the selected table or query.	Zobrazit vybranou tabulku nebo dotaz.
Modify SQL statement(s)	Upravit SQL příkazy
Create Form in Design View...	Vytvořit formulář v režimu návrhu...
Use Wizard to Create Form...	Použít průvodce pro vytvoření formuláře...
Use Wizard to Create Report...	Použít průvodce pro vytvoření sestavy...
Create Report in Design View...	Vytvořit sestavu v režimu návrhu...
Create Query in Design View...	Vytvořit dotaz v režimu návrhu...
Create Query in SQL View...	Vytvořit dotaz v režimu SQL...
Use Wizard to Create Query...	Použít průvodce pro vytvoření dotazu...
Create Table in Design View...	Vytvořit tabulku v režimu návrhu...
Use Wizard to Create Table...	Použít průvodce pro vytvoření tabulky...
Create View...	Vytvořit pohled...
Forms	Formuláře
Reports	Sestavy
The wizard will guide you through the steps necessary to create a report.	Tento průvodce vás provede kroky nezbytnými pro vytvoření sestavy.
Create a form by specifying the record source, controls, and control properties.	Vytvořte formulář zadáním zdroje záznamů, ovládacích prvků a vlastností těchto prvků.
Create a report by specifying the record source, controls, and control properties.	Vytvořte sestavu zadáním zdroje záznamů, ovládacích prvků a vlastností těchto prvků.
The wizard will guide you through the steps necessary to create a form.	Tento průvodce vás provede kroky nezbytnými pro vytvoření formuláře.
Create a query by specifying the filters, input tables, field names, and properties for sorting or grouping.	Vytvořte dotaz zadáním filtrů, vstupních tabulek, názvů polí a vlastností pro řazení nebo seskupování.
Create a query by entering an SQL statement directly.	Vytvořte dotaz přímým zadáním SQL výrazu.
The wizard will guide you through the steps necessary to create a query.	Tento průvodce vás provede kroky nezbytnými pro vytvoření dotazu.
Create a table by specifying the field names and properties, as well as the data types.	Vytvořte tabulku zadáním názvů, vlastností a typů polí.
Choose from a selection of business and personal table samples, which you customize to create a table.	Zvolte si z nabídky vzorových obchodních nebo osobních tabulek, které si můžete upravit, a vytvořit tak tabulku.
Create a view by specifying the tables and field names you would like to have visible.	Vytvořte pohled zadáním tabulek a názvů polí, které si přejete mít viditelné.
Database	Databáze
Tasks	Úlohy
Preview	Náhled
"The connection type has been altered.
For the changes to take effect, all forms, reports, queries and tables must be closed.

Do you want to close all documents now?"	"Typ spojení byl změněn.
Pro provedení změn je třeba zavřít všechny formuláře, sestavy, dotazy a tabulky.

Přejete si uzavřít dokumenty ihned?"
Form name	Název formuláře
Report name	Název sestavy
Folder name	Název složky
The document contains forms or reports with embedded macros.	Dokument obsahuje formuláře nebo sestavy s vloženými makry.
"Macros should be embedded into the database document itself.

You can continue to use your document as before, however, you are encouraged to migrate your macros. The menu item 'Tools / Migrate Macros ...' will assist you with this.

Note that you won't be able to embed macros into the database document itself until this migration is done. "	"Makra by měla být vložena přímo do databáze.

Dokument můžete používat i nadále, ale doporučujeme vám přemigrovat makra. Pomůže vám s tím volba 'Nástroje / Migrovat makra...'.

Poznámka: dokud neprovedete migraci, nemůžete vkládat makra do databázového dokumentu."
Embedded database	Vestavěná databáze
You cannot select different categories.	Není možné vybrat jiné kategorie.
Unsupported object type found ($type$).	Nalezen nepodporovaný datový typ ($type$).
Advanced Properties	Pokročilé vlastnosti
Additional Settings	Další nastavení
Connection settings	Nastavení spojení
Table Name	Název tabulky
Query name	Název dotazu
Rename to	Přejmenovat na
Insert as	Vložit jako
Do you want to delete the selected data?	Chcete smazat vybraná data?
Error setting the sort criteria	Při nastavování podmínek řazení došlo k chybě
Error setting the filter criteria	Při nastavování podmínek filtrování došlo k chybě
Connection lost	Spojení ztraceno
Queries	Dotazy
Tables	Tabulky
Confirm Deletion	Potvrdit odstranění
Do you want to delete the table '%1'?	Chcete smazat tabulku '%1'?
The connection to the database has been lost. Do you want to reconnect?	Připojení k databázi bylo ztraceno. Přejete si se znovu připojit?
Warnings encountered	Zaznamenána upozornění
While retrieving the tables, warnings were reported by the database connection.	Během načítání tabulek databázové připojení nahlásilo upozornění.
"Connecting to ""$name$"" ..."	"Připojení k ""$name$"" ..."
Loading query $name$ ...	Načítání dotazu $name$ ...
Loading table $name$ ...	Načítání tabulky $name$ ...
No table format could be found.	Nebyl nalezen žádný formát tabulky.
"The connection to the data source ""$name$"" could not be established."	"Nepodařilo se připojení ke zdroji dat ""$name$""."
Unknown;Text;Number;Date/Time;Date;Time;Yes/No;Currency;Memo;Counter;Image;Text (fix);Decimal;Binary (fix);Binary;BigInt;Double;Float;Real;Integer;Small Integer;Tiny Integer;SQL Null;Object;Distinct;Structure;Field;BLOB;CLOB;REF;OTHER;Bit (fix)	Neznámý;Text;Number;Date/Time;Date;Time;Yes/No;Currency;Memo;Counter;Image;Text (fix);Decimal;Binary (fix);Binary;BigInt;Double;Float;Real;Integer;Small Integer;Tiny Integer;SQL Null;Object;Distinct;Structure;Field;BLOB;CLOB;REF;OTHER;Bit (fix)
Insert/remove primary key	Vložit/odstranit primární klíč
Yes	Ano
No	Ne
<none>	<nic>
Field Name	Název pole
Field Type	Typ pole
Description	Popis
Column Description	Popis sloupce
Field Properties	Vlastnosti pole
Modify cell	Upravit buňku
Delete row	Smazat řádek
Modify field type	Změnit typ pole
Insert row	Vložit řádek
Insert new row	Vložit nový řádek
Default value	Výchozí hodnota
"Select a value that is to appear in all new records as default.
If the field is not to have a default value, select the empty string."	"Vyberte hodnotu, která se má objevit ve všech nových záznamech jako výchozí.
Pokud pole nemá mít výchozí hodnotu, vyberte prázdný řetězec."
"Enter a default value for this field.

When you later enter data in the table, this string will be used in each new record for the field selected. It should, therefore, correspond to the cell format that needs to be entered below."	"Zadejte výchozí hodnotu pro toto pole.

Pokud budete později vkládat data do tabulky, bude tento řetězec použit v každém novém záznamu pro toto pole. Proto by měl odpovídat formátu buňky, který je třeba zadat níže."
Enter the maximum text length permitted.	Zadejte maximální povolenou délku textu.
Enter the number format.	Zadejte formát čísla.
"Determine the length data can have in this field.

If decimal fields, then the maximum length of the number to be entered, if binary fields, then the length of the data block.
The value will be corrected accordingly when it exceeds the maximum for this database."	"Určete délku dat v tomto poli.

U číselných polí se jedná o maximální délku čísla, kterou bude možné zadat, u binárních polí se jedná o délku datového bloku.
Hodnota bude patřičně upravena, pokud překročí maximum pro tuto databázi."
Specify the number of decimal places permitted in this field.	Určete počet desetinných míst povolených v tomto poli.
This is where you see how the data would be displayed in the current format (use the button on the right to modify the format).	Zde vidíte, jak by byla zobrazena data v současném formátu (použijte tlačítko vpravo, pokud jej chcete změnit).
This is where you determine the output format of the data.	Zde určujete výstupní formát dat.
"Choose if this field should contain AutoIncrement values.

You can not enter data in fields of this type. An intrinsic value will be assigned to each new record automatically (resulting from the increment of the previous record)."	"Vyberte, zda toto pole má obsahovat hodnoty s automatickým přírůstkem.

Do polí tohoto typu nelze zadávat data. Do každého nového záznamu bude vložena hodnota automaticky (výsledek inkrementace předchozího záznamu)."
"The table cannot be saved because column name ""$column$"" was assigned twice."	"Tabulku nelze uložit, protože název sloupce ""$column$"" byl přiřazen dvakrát."
"The column ""$column$"" belongs to the primary key. If the column is deleted, the primary key will also be deleted. Do you really want to continue?"	"Sloupec ""$column$"" patří do primárního klíče. Pokud bude smazán, bude smazán i primární klíč. Opravdu chcete pokračovat?"
Primary Key Affected	Byl ovlivněn primární klíč
Column	Sloupec
Continue anyway?	Chcete přesto pokračovat?
The table could not be saved due to problems connecting to the database.	Tabulka nemohla být uložena z důvodu problémů při připojování k databázi.
The table filter could not be adjusted because the data source has been deleted.	Filtr tabulky nemohl být upraven, protože zdroj dat byl smazán.
"Before you can edit the indexes of a table, you have to save it.
Do you want to save the changes now?"	"Než budete moci upravovat indexy tabulky, musíte ji uložit.
Přejete si uložit změny nyní?"
No primary key	Žádný primární klíč
"A unique index or primary key is required for data record identification in this database.
You can only enter data into this table when one of these two structural conditions has been met.

Should a primary key be created now?"	"Pro identifikaci datového záznamu v této databázi je nezbytný jednoznačný index nebo primární klíč.
Do tabulky je možné vkládat data pouze tehdy, je li splněna alespoň jedna z těchto podmínek.

Má být primární klíč vytvořen nyní?"
"The column ""$column$"" could not be changed. Should the column instead be deleted and the new format appended?"	"Sloupec ""$column$"" nemohl být změněn. Má být místo toho smazán a přidán nový?"
Error while saving the table design	Při ukládání návrhu tabulky došlo k chybě
The column $column$ could not be deleted.	Sloupec $column$ nelze smazat.
"Enter an SQL statement for the auto-increment field.

This statement will be directly transferred to the database when the table is created."	"Zadejte SQL výraz pro políčko s automatickým přírůstkem.

Tento výraz bude přímo zanesen do databáze při vytvoření tabulky."
"No type information could be retrieved from the database.
The table design mode is not available for this data source."	"Z databáze nebylo možné zjistit informace o typech polí.
Pro tento zdroj dat není k dispozici režim Návrh tabulky."
change field name	změnit název pole
change field type	změnit typ pole
change field description	změnit popis pole
change field attribute	změnit atribut pole
"A password is needed to connect to the data source ""$name$""."	"Pro připojení ke zdroji dat ""$name$"" potřebujete heslo."
"The directory

$path$

does not exist. Should it be created?"	"Adresář

$path$

neexistuje. Má být vytvořen?"
The directory $name$ could not be created.	Adresář $name$ nemohl být vytvořen.
The file already exists. Overwrite?	Soubor již existuje. Přepsat?
Folder	Složka
Database properties	Vlastnosti databáze
Data Source Properties: #	Vlastnosti zdroje dat: #
Please choose 'Connect to an existing database' to connect to an existing database instead.	Pro připojení k existující databázi zvolte 'Připojit se k databázi'.
Could not load the program library #lib# or it is corrupted. The ODBC data source selection is not available.	Knihovnu programu #lib# nebylo možné načíst nebo je poškozena. Není možné vybrat zdroj dat ODBC.
"This kind of data source is not supported on this platform.
You are allowed to change the settings, but you probably will not be able to connect to the database."	"Tento druh zdroje dat není na této platformě podporován.
Je možné změnit nastavení, ale pravděpodobně se nebudete moci připojit k databázi."
{None}	{Žádný}
";	59	,	44	:	58	{Tab}	9	{Space}	32"	";	59	,	44	:	58	{Tab}	9	{Space}	32"
#1 must be set.	#1 musí být nastaveno.
#1 and #2 must be different.	#1 a #2 se musí lišit.
Wildcards such as ?,* are not allowed in #1.	V #1 nejsou povoleny zástupné znaky (např. ?, *).
Connection Test	Test spojení
The connection was established successfully.	Spojení bylo úspěšně navázáno.
The connection could not be established.	Spojení nelze navázat.
The JDBC driver was loaded successfully.	JDBC ovladač byl úspěšně načten.
The JDBC driver could not be loaded.	Nelze načíst JDBC ovladač.
MS Access file	Soubor MS Access
MS Access 2007 file	Soubor MS Access 2007
Firebird Database	Databáze Firebird
System	Systémová
Error during creation	Při vytváření došlo k chybě
An error occurred. The operation could not be performed.	Došlo k chybě. Operace nemohla být provedena.
"The document ""$file$"" could not be opened."	"Dokument ""$file$"" nelze otevřít."
The table cannot be deleted because the database connection does not support this.	Tabulka nemohla být smazána, protože to databázové připojení nepodporuje.
All	Vše
Undo:	Zpět:
Redo:	Znovu:
No corresponding column type could be found for column '#1'.	Pro sloupec '#1' nebyl nalezen odpovídající typ sloupce.
"The file ""$file$"" does not exist."	"Soubor ""$file$"" neexistuje."
"Warnings were encountered while connecting to the data source. Press ""$buttontext$"" to view them."	"Při připojování ke zdroji dat byla zaznamenána upozornění. Zobrazíte je stisknutím ""$buttontext$""."
"The name '$#$' already exists.
Please enter another name."	"Název '$#$' již existuje.
Zvolte jiný název."
"The report, ""$file$"", requires the Report Builder feature."	"Sestava ""$file$"" vyžaduje vlastnost Návrhář sestav."
Cannot connect to the SDBC driver manager (#servicename#).	Nepodařilo se připojit ke správci SDBC ovladačů (#servicename#).
A driver is not registered for the URL #connurl#.	Není zaregistrován žádný ovladač pro URL #connurl#.
Successfully connected, but information about database tables is not available.	Spojení bylo navázáno, ale informace o tabulkách v databázi není dostupná.
All tables	Všechny tabulky
All views	Všechny pohledy
All tables and views	Všechny tabulky a pohledy
Table name	Název tabulky
Insert data	Vložit data
Delete data	Smazat data
Modify data	Upravit data
Alter structure	Změnit strukturu
Read data	Číst data
Modify references	Upravit odkazy
Drop structure	Zahodit strukturu
Path to the dBASE files	Cesta k souborům dBASE
Path to the text files	Cesta k textovým souborům
Path to the spreadsheet document	Cesta k dokumentu s tabulkou
Name of the ODBC data source on your system	Název zdroje dat ODBC ve vašem systému
Path to the Writer document	Cesta k dokumentu Writeru
Name of the MySQL database	Název databáze MySQL
Name of the Oracle database	Název databáze Oracle
Microsoft Access database file	Soubor s databází MS Access
No more settings are necessary. To verify that the connection is working, click the '%test' button.	Další nastavení není třeba. K ověření funkčnosti spojení klikněte na tlačítko '%test'.
Datasource URL (e.g. host=$host:$port dbname=$database)	URL zdroje dat (např. host=$host:$port dbname=$database)
Host name	Název serveru
Mozilla profile name	Název profilu Mozilla
Thunderbird profile name	Název profilu Thunderbird
Add Tables	Přidat tabulky
Add Table or Query	Přidat tabulku nebo dotaz
Apply columns	Použít sloupce
Type formatting	Formátování typu
"Enter a unique name for the new primary key data field.
The following name is already in use:"	"Zadejte jedinečný název pro datové pole primárního klíče.
Následující název se již používá:"
Assign columns	Přiřadit sloupce
< Back	< Zpět
Next>	Další >
Create	Vytvořit
Copy table	Kopírovat tabulku
Copy table	Kopírovat tabulku
This table name is not valid in the current database.	Tento název tabulky není platný v této databázi.
Choose the option 'Append data' on the first page to append data to an existing table.	Pro přidání dat do existující tabulky zvolte na první stránce možnost 'Připojit data'.
Please change the table name. It is too long.	Změňte název tabulky, je příliš dlouhý.
Database Wizard	Průvodce databází
Select database	Vybrat databázi
Set up dBASE connection	Nastavit dBASE spojení
Set up a connection to text files	Nastavit spojení s textovými soubory
Set up Microsoft Access connection	Nastavit spojení s MS Access
Set up LDAP connection	Nastavit spojení s LDAP
Set up ADO connection	Nastavit ADO spojení
Set up JDBC connection	Nastavit JDBC spojení
Set up Oracle database connection	Nastavit spojení s Oracle
Set up MySQL connection	Nastavit spojení s MySQL
Set up ODBC connection	Nastavit ODBC spojení
Set up Writer Document or Spreadsheet connection	Nastavit spojení k dokumentu Writeru nebo k sešitu
Set up user authentication	Nastavit autentizaci uživatele
Set up MySQL server data	Nastavit MySQL server
Save and proceed	Uložit a pokračovat
New Database	Nová databáze
Set up connection to a MySQL database using JDBC	Nastavte spojení s databází MySQL pomocí rozhraní JDBC
"Please enter the required information to connect to a MySQL database using JDBC. Note that a JDBC driver class must be installed on your system and registered with %PRODUCTNAME.
Please contact your system administrator if you are unsure about the following settings."	"Zadejte požadované informace o připojení k databázi MySQL pomocí JDBC. Třída JDBC ovladače musí být nainstalována v systému a zaregistrována v %PRODUCTNAME.
Pokud si nejste tímto nastavením jisti, kontaktujte správce systému."
MySQL JDBC driver class:	Třída MySQL JDBC ovladače:
Default: 3306	Výchozí: 3306
Set up a connection to dBASE files	Nastavte spojení se soubory dBASE
Select the folder where the dBASE files are stored.	Zvolte složku, kde jsou uloženy soubory dBASE.
Set up a connection to text files	Nastavte spojení s textovými soubory
Select the folder where the CSV (Comma Separated Values) text files are stored. %PRODUCTNAME Base will open these files in read-only mode.	Vyberte složku, kde jsou uloženy textové soubory ve formátu CSV (hodnoty oddělené čárkou). %PRODUCTNAME Base otevře tyto soubory v režimu jen pro čtení.
Path to text files	Cesta k textovým souborům
Set up a connection to a Microsoft Access database	Nastavte spojení s databází Microsoft Access
Please select the Microsoft Access file you want to access.	Zvolte soubor s databází Microsoft Access, ke které chcete přistupovat.
Set up a connection to an ADO database	Nastavte spojení s databází ADO
"Please enter the URL of the ADO data source you want to connect to.
Click 'Browse' to configure provider-specific settings.
Please contact your system administrator if you are unsure about the following settings."	"Zadejte URL zdroje dat ADO, ke kterému se chcete připojit.
Kliknutím na tlačítko 'Procházet' provedete nastavení specifická pro poskytovatele.
Pokud si nejste tímto nastavením jisti, kontaktujte správce systému."
Set up a connection to an ODBC database	Nastavte spojení s databází ODBC
"Enter the name of the ODBC database you want to connect to.
Click 'Browse...' to select an ODBC database that is already registered in %PRODUCTNAME.
Please contact your system administrator if you are unsure about the following settings."	"Zadejte název databáze ODBC, ke které se chcete připojit.
Kliknutím na tlačítko 'Procházet...' vyberte databázi ODBC, která je již v %PRODUCTNAME zaregistrována.
Pokud si nejste tímto nastavením jisti, kontaktujte správce systému."
Set up a connection to a JDBC database	Nastavte spojení s databází JDBC
"Please enter the required information to connect to a JDBC database.
Please contact your system administrator if you are unsure about the following settings."	"Zadejte požadované informace pro připojení k databázi JDBC.
Pokud si nejste tímto nastavením jisti, kontaktujte správce systému."
Set up a connection to an Oracle database	Nastavte spojení s databází Oracle
Default: 1521	Výchozí: 1521
Oracle JDBC driver class	Třída Oracle JDBC ovladače
"Please enter the required information to connect to an Oracle database. Note that a JDBC Driver Class must be installed on your system and registered with %PRODUCTNAME.
Please contact your system administrator if you are unsure about the following settings."	"Zadejte požadované informace pro připojení k databázi Oracle. Třída JDBC ovladače musí být v systému nainstalována a zaregistrována v %PRODUCTNAME.
Pokud si nejste tímto nastavením jisti, kontaktujte správce systému."
Set up a connection to spreadsheets	Nastavit spojení s tabulkovými sešity
"Click 'Browse...' to select a %PRODUCTNAME spreadsheet or Microsoft Excel workbook.
%PRODUCTNAME will open this file in read-only mode."	"Kliknutím na tlačítko 'Procházet...' vyberte sešit %PRODUCTNAME nebo Microsoft Excel.
%PRODUCTNAME tento soubor otevře v režimu jen pro čtení."
Location and file name	Umístění a název souboru
Command successfully executed.	Příkaz byl úspěšně vykonán.
The connection to the database has been lost. This dialog will be closed.	Připojení k databázi bylo ztraceno. Toto dialogové okno bude uzavřeno.
Sort order	Pořadí řazení
Index field	Pole indexu
Ascending	Vzestupně
Descending	Sestupně
Do you really want to delete the index '$name$'?	Opravdu si přejete smazat index '$name$'?
index	index
The index must contain at least one field.	Index musí obsahovat alespoň jedno pole.
"There is already another index named ""$name$""."	"Jiný index s názvem ""$name$"" již existuje."
"In an index definition, no table column may occur more than once. However, you have entered column ""$name$"" twice."	"V definici indexu se smí vyskytnout každý sloupec pouze jednou. Avšak sloupec ""$name$"" byl zadán dvakrát."
"The entry could not be converted to a valid value for the ""$name$"" parameter"	"Položka nemohla být převedena na platnou hodnotu parametru ""$name$"""
SQL Status	Stav SQL
Error code	Kód chyby
A frequent reason for this error is an inappropriate character set setting for the language of your database. Check the setting by choosing Edit - Database - Properties.	Častým důvodem této chyby je nevhodně nastavená znaková sada pro jazyk databáze. Zkontrolujte nastavení v Upravit - Databáze - Vlastnosti.
Error	Chyba
Warning	Upozornění
Information	Informace
Details	Podrobnosti
Do you really want to delete the user?	Opravdu si přejete smazat tohoto uživatele?
The database does not support user administration.	Databáze nepodporuje správu uživatelů.
The passwords do not match. Please enter the password again.	Hesla nejsou stejná. Zadejte heslo znovu.
Please note that some databases may not support this join type.	Uvědomte si, že některé databáze nepodporují tento typ spojení (join).
Includes only records for which the contents of the related fields of both tables are identical.	Zahrnuje pouze záznamy, pro které jsou obsahy spojovaných polí identické.
Contains ALL records from table '%1' but only records from table '%2' where the values in the related fields are matching.	Obsahuje všechny záznamy z tabulky '%1', ale pouze takové záznamy z tabulky '%2', pro které jsou obsahy spojovaných polí identické.
Contains ALL records from '%1' and from '%2'.	Obsahuje všechny záznamy z tabulky '%1' a tabulky '%2'.
Contains the Cartesian product of ALL records from '%1' and from '%2'.	Obsahuje kartézský součin všech záznamů z '%1' a '%2'.
The destination database does not support views.	Cílová databáze nepodporuje pohledy.
The destination database does not support primary keys.	Cílová databáze nepodporuje primární klíče.
no data access descriptor found, or no data access descriptor able to provide all necessary information	nebyl nalezen deskriptor dat nebo nemůže poskytnout potřebné informace
Only tables and queries are supported at the moment.	Momentálně jsou podporovány jen tabulky a dotazy.
The copy source's result set must support bookmarks.	Výsledek kopie zdroje musí podporovat záložky.
Unsupported source column type ($type$) at column position $pos$.	Nepodporovaný zdrojový typ sloupce ($type$) na pozici $pos$.
Illegal number of initialization parameters.	Neplatný počet inicializačních parametrů.
An error occurred during initialization.	Během inicializace došlo k chybě.
Unsupported setting in the copy source descriptor: $name$.	Nepodporovaná volba v deskriptoru zdrojového souboru: $name$.
To copy a query, your connection must be able to provide queries.	Chcete-li zkopírovat dotaz, musí vaše databázové připojení poskytovat dotazy.
The given interaction handler is invalid.	Zadaný handler interakce je neplatný.
This relation already exists. Do you want to edit it or create a new one?	Tato relace již existuje. Chcete ji upravit nebo vytvořit novou?
Edit...	Upravit...
Create...	Vytvořit...
 - %PRODUCTNAME Base: Relation design	 - %PRODUCTNAME Base: Návrh relace
The database does not support relations.	Databáze nepodporuje relace.
When you delete this table all corresponding relations will be deleted as well. Continue?	Pokud smažete tuto tabulku, budou všechny k ní vztažené relace také smazány. Pokračovat?
"The database could not create the relation. Maybe foreign keys for this kind of table aren't supported.
Please check your documentation of the database."	"Databázi se nepodařilo vytvořit danou relaci. Pro tento typ tabulky možná nejsou podporovány cizí klíče.
Zkontrolujte dokumentaci použité databáze."
Title	Název
By	Autor
Date	Datum
Keywords	Klíčová slova
Description	Popis
Type	Typ
Modified on	Změněno
Modified by	Změnil
Printed on	Vytištěno
Printed by	Vytiskl
Subject	Předmět
Size	Velikost
Database Properties	Vlastnosti databáze
Advanced Properties	Pokročilé vlastnosti
Advanced Settings	Pokročilá nastavení
Generated Values	Generované hodnoty
Special Settings	Speciální nastavení
Existing Columns	Existující sloupce
Set up the user authentication	Nastavte autentizaci uživatele
Some databases require you to enter a user name.	Některé databáze vyžadují zadání uživatelského jména.
User name	Uživatelské jméno
Password required	Vyžadováno heslo
Test Connection	Otestovat spojení
Character set:	Znaková sada:
Data Conversion	Převod dat
Data Source	Zdroj dat
Organize...	Uspořádat...
Choose a data source:	Vyberte zdroj dat:
Save	Uložit
Save	Uložit
Create New Directory	Vytvořit nový adresář
Up One Level	O úroveň výše
Folder Name	Název složky
File name:	Název souboru:
Column Width	Šířka sloupce
Width:	Šířka:
Enter the column width that you want to use.	Zadejte požadovanou výšku řádku.
Automatic	Automaticky
Automatically adjusts the column width based on the current font.	Automaticky upraví šířku sloupce podle současného písma.
Changes the width of the current column, or the selected columns.	Změní šířku aktuálního sloupce nebo vybraných sloupců.
Path to the dBASE files:	Cesta k souborům dBASE:
Create New	Vytvořit nový
Browse…	Procházet…
General	Obecné
User name:	Uživatelské jméno:
Password required	Vyžadováno heslo
User Authentication	Autentizace uživatele
JDBC driver class:	Třída JDBC ovladače:
Test Class	Otestovat třídu
JDBC Properties	Vlastnosti JDBC
Test Connection	Otestovat spojení
Definition and data	Definice a data
Definition	Definice
